region,total_streams,unique_artists,unique_songs,top_genre,top3_genres
Global,439304303921,5358,10381,pop,"pop, american, hip-hop"
United States,142132086404,5213,11842,american,"american, pop, hip-hop"
Brazil,55866682131,4739,8046,pop,"pop, brazil, brazilian"
Mexico,45595912533,4141,6515,pop,"pop, latin, reggaeton"
Germany,39956270313,7537,12713,pop,"pop, hip-hop, rap"
United Kingdom,36408800049,5933,11378,pop,"pop, hip-hop, american"
Spain,27062199940,5801,9009,pop,"pop, latin, reggaeton"
Italy,25591134079,4783,10139,pop,"pop, italian, rap"
France,23869865901,6284,12104,pop,"pop, hip-hop, rap"
Australia,20128208340,5109,8787,pop,"pop, american, hip-hop"
Argentina,19533812932,4847,7534,pop,"pop, latin, reggaeton"
Canada,19327565594,5604,10977,pop,"pop, american, hip-hop"
Netherlands,18821109409,7949,12311,pop,"pop, hip-hop, dutch"
Philippines,18785966097,4209,6955,pop,"pop, american, rnb"
Chile,17202536460,4750,7288,pop,"pop, latin, reggaeton"
Indonesia,15806777658,4324,6976,pop,"pop, indonesian, indonesia"
Sweden,14760361269,6641,11975,pop,"pop, swedish, hip-hop"
Turkey,12627454776,5131,7927,turkish,"turkish, pop, turkey"
Japan,9777389899,5704,10519,japanese,"japanese, pop, j-pop"
India,9555739852,3585,4637,pop,"pop, hip-hop, american"
Poland,8839127735,6103,10181,pop,"pop, hip-hop, rap"
Norway,8681958329,7087,11738,pop,"pop, american, electronic"
Peru,7886769805,4042,6060,pop,"pop, latin, reggaeton"
Denmark,6740816525,5679,10398,pop,"pop, rap, hip-hop"
Colombia,6046832559,4827,7404,pop,"pop, latin, reggaeton"
Finland,5042612207,6749,13226,pop,"pop, finnish, finland"
New Zealand,4091051673,5267,8899,pop,"pop, american, hip-hop"
Malaysia,3993398918,4200,7602,pop,"pop, american, rnb"
Ireland,3992861737,5497,10382,pop,"pop, american, hip-hop"
Singapore,3956236134,4573,7946,pop,"pop, american, male vocalists"
Belgium,3883142609,6231,11418,pop,"pop, hip-hop, american"
Switzerland,3400115425,7771,14135,pop,"pop, hip-hop, rap"
Taiwan,3292367477,6576,12378,pop,"pop, chinese, c-pop"
Thailand,3270660910,3251,6505,pop,"pop, thai, thailand"
Portugal,2815873226,4633,8909,pop,"pop, hip hop, american"
Austria,2703190809,6636,11621,pop,"pop, hip-hop, rap"
Ecuador,2684282249,3750,5781,pop,"pop, latin, reggaeton"
Costa Rica,2136591132,3622,6454,pop,"pop, latin, reggaeton"
Russia,2126238131,2043,3661,russian,"russian, rap, pop"
Paraguay,2120758335,3547,5577,pop,"pop, latin, reggaeton"
Guatemala,2033209820,3684,5938,pop,"pop, latin, reggaeton"
Czech Republic,1795693661,5442,9960,pop,"pop, american, rap"
Hong Kong,1685991169,4539,9028,pop,"pop, hong kong, female vocalists"
Vietnam,1387635959,2902,5332,pop,"pop, vietnamese, rnb"
Uruguay,1323026051,4026,6667,pop,"pop, latin, reggaeton"
Hungary,1319061060,4752,8881,pop,"pop, american, hip-hop"
Greece,1261792264,3839,7723,pop,"pop, hip-hop, rap"
Israel,1230558261,3254,5992,pop,"pop, israeli, israel"
Bolivia,1170958554,3408,5266,pop,"pop, latin, reggaeton"
Dominican Republic,1153726437,3624,6443,pop,"pop, latin, reggaeton"
Panama,1098767865,3305,5816,pop,"pop, latin, reggaeton"
El Salvador,967422946,3005,5049,pop,"pop, latin, reggaeton"
South Africa,795102623,3627,7131,pop,"pop, american, hip-hop"
Honduras,774654467,2948,5083,pop,"pop, latin, reggaeton"
Romania,746343040,3180,6376,pop,"pop, hip-hop, rap"
Slovakia,648108641,4167,8224,pop,"pop, rap, american"
Saudi Arabia,569441596,2032,3914,pop,"pop, hip-hop, american"
Iceland,445556575,3702,7936,pop,"pop, hip-hop, rap"
Ukraine,436676563,1658,3057,pop,"pop, rap, hip-hop"
Morocco,416460374,2104,4148,pop,"pop, morocco, rap"
Egypt,315756275,1452,2946,pop,"pop, rap, hip-hop"
United Arab Emirates,305006162,1831,3555,pop,"pop, american, hip-hop"
Lithuania,296519909,3840,7294,pop,"pop, american, hip-hop"
Latvia,261023996,3746,7353,pop,"pop, american, hip-hop"
Nicaragua,227229269,2452,4369,pop,"pop, latin, reggaeton"
Estonia,193431843,3555,6772,pop,"pop, american, hip-hop"
Bulgaria,161977646,2817,6075,pop,"pop, hip-hop, american"
South Korea,160064720,860,1884,pop,"pop, korean, k-pop"
Luxembourg,14864447,3653,6172,pop,"pop, american, hip-hop"
Andorra,0,3903,6274,spain,"spain, spanish, barcenas"
